==15620== NVPROF is profiling process 15620, command: ./vd2
==15620== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15620== Profiling application: ./vd2
==15620== Profiling result:
==15620== Event result:
Invocations                                Event Name         Min         Max         Avg
Device "Tesla K80 (0)"
	Kernel: vecAdd(float*, float*, float*)
          1                 tex0_cache_sector_queries           0           0           0
          1                 tex1_cache_sector_queries           0           0           0
          1                 tex2_cache_sector_queries           0           0           0
          1                 tex3_cache_sector_queries           0           0           0
          1                  tex0_cache_sector_misses           0           0           0
          1                  tex1_cache_sector_misses           0           0           0
          1                  tex2_cache_sector_misses           0           0           0
          1                  tex3_cache_sector_misses           0           0           0
          1                     fb_subp0_read_sectors           0           0           0
          1                     fb_subp1_read_sectors           0           0           0
          1                    fb_subp0_write_sectors          80          80          80
          1                    fb_subp1_write_sectors          82          82          82
          1              l2_subp0_write_sector_misses          32          32          32
          1              l2_subp1_write_sector_misses          32          32          32
          1              l2_subp2_write_sector_misses          32          32          32
          1              l2_subp3_write_sector_misses          32          32          32
          1               l2_subp0_read_sector_misses           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0
          1               l2_subp2_read_sector_misses           0           0           0
          1               l2_subp3_read_sector_misses           0           0           0
          1          l2_subp0_write_l1_sector_queries          32          32          32
          1          l2_subp1_write_l1_sector_queries          32          32          32
          1          l2_subp2_write_l1_sector_queries          32          32          32
          1          l2_subp3_write_l1_sector_queries          32          32          32
          1           l2_subp0_read_l1_sector_queries          64          64          64
          1           l2_subp1_read_l1_sector_queries          64          64          64
          1           l2_subp2_read_l1_sector_queries          64          64          64
          1           l2_subp3_read_l1_sector_queries          64          64          64
          1              l2_subp0_read_l1_hit_sectors          64          64          64
          1              l2_subp1_read_l1_hit_sectors          64          64          64
          1              l2_subp2_read_l1_hit_sectors          64          64          64
          1              l2_subp3_read_l1_hit_sectors          64          64          64
          1          l2_subp0_read_tex_sector_queries           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0
          1          l2_subp2_read_tex_sector_queries           0           0           0
          1          l2_subp3_read_tex_sector_queries           0           0           0
          1             l2_subp0_read_tex_hit_sectors           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0
          1             l2_subp2_read_tex_hit_sectors           0           0           0
          1             l2_subp3_read_tex_hit_sectors           0           0           0
          1        rocache_subp0_gld_thread_count_32b           0           0           0
          1        rocache_subp1_gld_thread_count_32b           0           0           0
          1        rocache_subp2_gld_thread_count_32b           0           0           0
          1        rocache_subp3_gld_thread_count_32b           0           0           0
          1        rocache_subp0_gld_thread_count_64b           0           0           0
